-2.3669,-2.774,1.7918,2.2534,0,1,1.183253379,,,,,,,,,,,,,,,,,,,,,,
-1.9765,-2.9932,1.9459,2.8046,0,0,2.18997523,,,,,,,,,,,,,,,,,,,,,,
-1.9765,-2.9932,1.9459,2.8046,0,0,1.982153869,,,,,,,,,,,,,,,,,,,,,,
-1.9765,-2.9932,1.9459,2.8046,0,1,1.365684243,,,,,,,,,,,,,,,,,,,,,,
-2.7893,-2.774,1.6094,1.6658,0,1,1.553589079,,,,,,,,,,,,,,,,,,,,,,
-1.682,-2.4073,1.6094,1.9573,0,0,1.896607256,,,,,,,,,,,,,,,,,,,,,,
-1.4459,-2.4242,1.9459,2.2359,0,0,1.992431042,,,,,,,,,,,,,,,,,,,,,,
-1.8443,-3.2235,2.5649,2.3777,0,0,2.311053584,,,,,,,,,,,,,,,,,,,,,,
-2.3098,-2.4542,1.9459,2.0149,0,1,1.70895069,,,,,,,,,,,,,,,,,,,,,,
-0.49941,-1.4299,1.9459,2.1306,1,0,2.39893458,,,,,,,,,,,,,,,,,,,,,,
-2.7768,-3.0447,1.7918,1.6233,0,0,2.234845848,,,,,,,,,,,,,,,,,,,,,,
-1.9247,-2.4349,2.5649,2.5249,0,1,1.277230285,,,,,,,,,,,,,,,,,,,,,,
-0.67416,-2.1156,1.7918,1.6984,0,0,2.310559218,,,,,,,,,,,,,,,,,,,,,,
-1.9057,-2.724,2.8904,2.6933,0,1,1.374999073,,,,,,,,,,,,,,,,,,,,,,
-1.4767,-2.4737,1.9459,1.8437,0,1,1.50739403,,,,,,,,,,,,,,,,,,,,,,
-1.1322,-2.0975,2.1972,2.5217,1,0,2.527870336,,,,,,,,,,,,,,,,,,,,,,
-0.69609,-1.8151,2.3026,2.4484,0,0,2.998968926,,,,,,,,,,,,,,,,,,,,,,
-1.2053,-1.8246,2.3026,2.474,0,0,2.848393132,,,,,,,,,,,,,,,,,,,,,,
-0.58784,-2.4456,1.9459,1.8083,0,1,2.418309101,,,,,,,,,,,,,,,,,,,,,,
-1.9081,-2.4499,2.5649,2.5665,0,1,1.605400033,,,,,,,,,,,,,,,,,,,,,,
-1.933,-2.5022,1.9459,1.6341,1,1,2.357709448,,,,,,,,,,,,,,,,,,,,,,
-0.97611,-2.4391,3.091,2.9191,0,1,1.413837197,,,,,,,,,,,,,,,,,,,,,,
-1.9141,-2.4456,2.6391,2.5572,0,1,1.620709574,,,,,,,,,,,,,,,,,,,,,,
-1.9517,-2.4263,1.7918,1.8594,0,1,1.328838563,,,,,,,,,,,,,,,,,,,,,,
-0.77814,-2.1229,2.0794,2.3721,1,0,2.354846948,,,,,,,,,,,,,,,,,,,,,,
-2.1448,-2.4413,2.1972,2.2428,0,1,1.544009643,,,,,,,,,,,,,,,,,,,,,,
-1.9404,-2.4391,2.5649,2.4757,0,0,1.792329364,,,,,,,,,,,,,,,,,,,,,,
-1.2908,-2.4413,1.7918,1.6956,1,0,1.845280153,,,,,,,,,,,,,,,,,,,,,,
-1.7878,-2.4563,1.7918,1.7984,0,1,1.44536391,,,,,,,,,,,,,,,,,,,,,,
-1.9765,-2.9932,1.9459,2.8046,0,1,1.542226261,,,,,,,,,,,,,,,,,,,,,,
-2.0632,-2.4824,2.4849,2.3952,0,1,1.555341669,,,,,,,,,,,,,,,,,,,,,,
-0.51457,-2.1193,2.0794,2.3209,1,0,2.713901098,,,,,,,,,,,,,,,,,,,,,,
